"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","FSMMA_genomic","SM2011_genomic"
"ata","","Adhesin Ata autotransporter","2","2","1","1","7003","","","","2243","4364","3303","JPHAALHC_03058","PPGGGBPO_03358"
"group_120","","hypothetical protein","2","2","1","1","4399","","","","1199","1226","1212","JPHAALHC_00404","PPGGGBPO_02479"
"yidD","","Putative membrane protein insertion efficiency factor","2","2","1","1","5723","","","","263","374","318","JPHAALHC_00607","PPGGGBPO_02356"
"ispDF","","Bifunctional enzyme IspD/IspF","2","2","1","1","5689","","","","1253","1304","1278","JPHAALHC_00641","PPGGGBPO_02322"
"nagZ","","Beta-hexosaminidase","2","2","1","1","5618","","","","1034","1202","1118","JPHAALHC_00712","PPGGGBPO_02251"
"scpA_1","","Segregation and condensation protein A","2","2","1","1","5617","","","","818","839","828","JPHAALHC_00713","PPGGGBPO_02250"
"fliY_2","","L-cystine-binding protein FliY","2","2","1","1","5552","","","","656","755","705","JPHAALHC_00778","PPGGGBPO_02184"
"ycaD_3","","putative MFS-type transporter YcaD","2","2","1","1","5544","","","","932","1166","1049","JPHAALHC_00786","PPGGGBPO_02176"
"group_127","","hypothetical protein","2","2","1","1","5395","","","","272","305","288","JPHAALHC_00942","PPGGGBPO_02079"
"group_128","bcr_2","Bicyclomycin resistance protein","2","2","1","1","5288","","","","1139","1313","1226","JPHAALHC_01055","PPGGGBPO_01966"
"group_129","","hypothetical protein","2","2","1","1","5205","","","","2162","2249","2205","JPHAALHC_01139","PPGGGBPO_01883"
"group_130","","hypothetical protein","2","2","1","1","5172","","","","578","611","594","JPHAALHC_01172","PPGGGBPO_01850"
"group_131","","hypothetical protein","2","2","1","1","5168","","","","524","752","638","JPHAALHC_01176","PPGGGBPO_01846"
"group_132","","hypothetical protein","2","2","1","1","5108","","","","998","1034","1016","JPHAALHC_01236","PPGGGBPO_01786"
"frmR","","Transcriptional repressor FrmR","2","2","1","1","5073","","","","242","272","257","JPHAALHC_01270","PPGGGBPO_01752"
"fecI","","putative RNA polymerase sigma factor FecI","2","2","1","1","5037","","","","479","512","495","JPHAALHC_01306","PPGGGBPO_01716"
"phnV_1","","Putative 2-aminoethylphosphonate transport system permease protein PhnV","2","2","1","1","5014","","","","1949","2036","1992","JPHAALHC_01330","PPGGGBPO_01692"
"group_136","yybR_1","putative HTH-type transcriptional regulator YybR","2","2","1","1","4986","","","","404","470","437","JPHAALHC_01359","PPGGGBPO_01664"
"amiD_1","","N-acetylmuramoyl-L-alanine amidase AmiD","2","2","1","1","4877","","","","764","791","777","JPHAALHC_01468","PPGGGBPO_01554"
"group_138","","hypothetical protein","2","2","1","1","4871","","","","1184","1250","1217","JPHAALHC_01474","PPGGGBPO_01548"
"stf0_2","","Trehalose 2-sulfotransferase","2","2","1","1","4765","","","","680","800","740","JPHAALHC_01582","PPGGGBPO_01442"
"group_140","","hypothetical protein","2","2","1","1","4572","","","","878","1103","990","JPHAALHC_01773","PPGGGBPO_01247"
"group_141","rbsA_4","Ribose import ATP-binding protein RbsA","2","2","1","1","4519","","","","1049","1484","1266","JPHAALHC_01805","PPGGGBPO_01192"
"alsB_1","","D-allose-binding periplasmic protein","2","2","1","1","4518","","","","1187","1247","1217","JPHAALHC_01806","PPGGGBPO_01191"
"sdh_1","","putative oxidoreductase","2","2","1","1","4509","","","","266","728","497","JPHAALHC_01814","PPGGGBPO_01182"
"cmpD_1","","Bicarbonate transport ATP-binding protein CmpC","2","2","1","1","4487","","","","734","836","785","JPHAALHC_01836","PPGGGBPO_01160"
"group_145","","hypothetical protein","2","2","1","1","123","","","","602","851","726","JPHAALHC_01993","PPGGGBPO_01002"
"bcp_1","","Pseudoazurin","2","2","1","1","232","","","","431","443","437","JPHAALHC_02102","PPGGGBPO_00890"
"group_147","","hypothetical protein","2","2","1","1","6734","","","","146","146","146","JPHAALHC_02390","PPGGGBPO_00625"
"group_148","","hypothetical protein","2","2","1","1","901","","","","1625","1685","1655","JPHAALHC_02570","PPGGGBPO_00376"
"group_149","","hypothetical protein","2","2","1","1","809","","","","557","632","594","JPHAALHC_02667","PPGGGBPO_00278"
"group_15","","Insertion sequence putative ATP-binding protein","2","2","1","1","2220","","","","476","737","606","JPHAALHC_05066","PPGGGBPO_03620"
"minD_1","","Septum site-determining protein MinD","2","2","1","1","6839","","","","1286","1349","1317","JPHAALHC_02737","PPGGGBPO_00209"
"group_151","","hypothetical protein","2","2","1","1","6978","","","","518","620","569","JPHAALHC_02876","PPGGGBPO_00068"
"yjgH_1","","RutC family protein YjgH","2","2","1","1","7010","","","","443","488","465","JPHAALHC_03051","PPGGGBPO_03365"
"group_153","","hypothetical protein","2","2","1","1","7004","","","","290","299","294","JPHAALHC_03057","PPGGGBPO_03359"
"crp_1","","CRP-like cAMP-activated global transcriptional regulator","2","2","1","1","3555","","","","548","704","626","JPHAALHC_03076","PPGGGBPO_03343"
"group_155","","hypothetical protein","2","2","1","1","3815","","","","248","371","309","JPHAALHC_03321","PPGGGBPO_03065"
"group_156","","hypothetical protein","2","2","1","1","3828","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","149","149","149","JPHAALHC_03334","PPGGGBPO_03052"
"yfcG_2","","Disulfide-bond oxidoreductase YfcG","2","2","1","1","3864","","","","809","845","827","JPHAALHC_03371","PPGGGBPO_03015"
"group_158","","putative signaling protein","2","2","1","1","3998","","","","2315","2912","2613","JPHAALHC_03501","PPGGGBPO_02885"
"group_159","","hypothetical protein","2","2","1","1","3047","","","","290","290","290","JPHAALHC_03505","PPGGGBPO_04280"
"hisC_5","","Histidinol-phosphate aminotransferase","2","2","1","1","3391","","","","1112","1112","1112","JPHAALHC_03636","PPGGGBPO_04579"
"yvoA_6","","HTH-type transcriptional repressor YvoA","2","2","1","1","3399","","","","731","731","731","JPHAALHC_03644","PPGGGBPO_04587"
"group_162","","hypothetical protein","2","2","1","1","3403","","","","635","788","711","JPHAALHC_03647","PPGGGBPO_04591"
"group_163","","hypothetical protein","2","2","1","1","3406","","","","128","128","128","JPHAALHC_03650","PPGGGBPO_04594"
"group_164","","hypothetical protein","2","2","1","1","3416","","","","470","470","470","JPHAALHC_03659","PPGGGBPO_04605"
"group_165","","hypothetical protein","2","2","1","1","3114","","","","383","422","402","JPHAALHC_03675","PPGGGBPO_04239"
"group_166","","hypothetical protein","2","2","1","1","3122","","","","236","359","297","JPHAALHC_03691","PPGGGBPO_04231"
"pgrR_5","","HTH-type transcriptional regulator PgrR","2","2","1","1","3160","","","","887","959","923","JPHAALHC_03706","PPGGGBPO_04145"
"ycdF_1","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","2","2","1","1","3148","","","","275","467","371","JPHAALHC_03716","PPGGGBPO_04132"
"pgrR_8","","HTH-type transcriptional regulator PgrR","2","2","1","1","3147","","","","902","1109","1005","JPHAALHC_03717","PPGGGBPO_04131"
"yidZ","","HTH-type transcriptional regulator YidZ","2","2","1","1","3499","","","","983","983","983","JPHAALHC_03725","PPGGGBPO_04123"
"eamA_1","","putative amino-acid metabolite efflux pump","2","2","1","1","3505","","","","860","944","902","JPHAALHC_03731","PPGGGBPO_04117"
"group_172","gcvA_6","Glycine cleavage system transcriptional activator","2","2","1","1","3506","","","","455","899","677","JPHAALHC_03732","PPGGGBPO_04116"
"otcC","","Anhydrotetracycline monooxygenase","2","2","1","1","3507","","","","1499","1535","1517","JPHAALHC_03733","PPGGGBPO_04115"
"nanT","","Putative sialic acid transporter","2","2","1","1","3508","","","","1238","1238","1238","JPHAALHC_03734","PPGGGBPO_04114"
"pbpF_2","","Penicillin-binding protein 1F","2","2","1","1","5908","","","","1838","1838","1838","JPHAALHC_03749","PPGGGBPO_04097"
"trxB_3","","Thioredoxin reductase","2","2","1","1","5918","","","","644","752","698","JPHAALHC_03757","PPGGGBPO_04088"
"group_177","","hypothetical protein","2","2","1","1","5936","","","","683","713","698","JPHAALHC_03774","PPGGGBPO_04069"
"group_178","","hypothetical protein","2","2","1","1","5938","","","","836","836","836","JPHAALHC_03776","PPGGGBPO_04067"
"mhqD_1","","Putative hydrolase MhqD","2","2","1","1","5949","","","","602","602","602","JPHAALHC_03787","PPGGGBPO_04056"
"group_18","","hypothetical protein","2","2","1","1","533","","","","734","1235","984","JPHAALHC_05600","PPGGGBPO_05095"
"group_180","","hypothetical protein","2","2","1","1","5951","","","","452","452","452","JPHAALHC_03789","PPGGGBPO_04054"
"dmlR_10","","HTH-type transcriptional regulator DmlR","2","2","1","1","5952","","","","899","1151","1025","JPHAALHC_03790","PPGGGBPO_04053"
"group_182","","hypothetical protein","2","2","1","1","5959","","","","458","458","458","JPHAALHC_03797","PPGGGBPO_04046"
"group_183","","hypothetical protein","2","2","1","1","5964","","","","248","248","248","JPHAALHC_03802","PPGGGBPO_04042"
"allS_2","","HTH-type transcriptional activator AllS","2","2","1","1","5981","","","","815","893","854","JPHAALHC_03813","PPGGGBPO_04029"
"group_185","","hypothetical protein","2","2","1","1","5988","","","","1367","1370","1368","JPHAALHC_03817","PPGGGBPO_04024"
"group_186","","hypothetical protein","2","2","1","1","5995","","","","485","485","485","JPHAALHC_03821","PPGGGBPO_04018"
"fabG_12","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","2","2","1","1","5999","","","","719","740","729","JPHAALHC_03825","PPGGGBPO_04014"
"betB_3","","NAD/NADP-dependent betaine aldehyde dehydrogenase","2","2","1","1","6023","","","","1469","1469","1469","JPHAALHC_03848","PPGGGBPO_03995"
"nicF","","Maleamate amidohydrolase","2","2","1","1","6028","","","","545","545","545","JPHAALHC_03853","PPGGGBPO_03990"
"pgrR_7","","HTH-type transcriptional regulator PgrR","2","2","1","1","6029","","","","944","950","947","JPHAALHC_03854","PPGGGBPO_03989"
"adeP_1","","Adenine permease AdeP","2","2","1","1","6031","","","","1394","1400","1397","JPHAALHC_03856","PPGGGBPO_03987"
"adeC_3","","Adenine deaminase","2","2","1","1","6032","","","","1787","1787","1787","JPHAALHC_03857","PPGGGBPO_03986"
"arg","","Arginase","2","2","1","1","6034","","","","893","893","893","JPHAALHC_03858","PPGGGBPO_03984"
"ros_2","","Transcriptional regulatory protein ros","2","2","1","1","6035","","","","416","428","422","JPHAALHC_03859","PPGGGBPO_03982"
"group_195","","hypothetical protein","2","2","1","1","6036","","","","1178","1178","1178","JPHAALHC_03860","PPGGGBPO_03981"
"tmoS_2","","Sensor histidine kinase TmoS","2","2","1","1","6291","","","","1919","1919","1919","JPHAALHC_03866","PPGGGBPO_03970"
"group_197","","hypothetical protein","2","2","1","1","6289","","","","1013","1013","1013","JPHAALHC_03868","PPGGGBPO_03968"
"bepA_6","","Beta-barrel assembly-enhancing protease","2","2","1","1","6288","","","","2303","2303","2303","JPHAALHC_03869","PPGGGBPO_03967"
"hutI_1","","Imidazolonepropionase","2","2","1","1","6286","","","","1304","1433","1368","JPHAALHC_03871","PPGGGBPO_03965"
"mshD_5","","Mycothiol acetyltransferase","2","2","1","1","6269","","","","584","584","584","JPHAALHC_03878","PPGGGBPO_03953"
"moaC","","Cyclic pyranopterin monophosphate synthase accessory protein","2","2","1","1","5468","","","","494","494","494","JPHAALHC_00867","PPGGGBPO_02095"
"cya_1","","Bifunctional hemolysin/adenylate cyclase","2","2","1","1","5355","","","","1037","1037","1037","JPHAALHC_00982","PPGGGBPO_02040"
"dapD","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase","2","2","1","1","7030","","","","857","857","857","JPHAALHC_03028","PPGGGBPO_03385"
"rspR_3","","HTH-type transcriptional repressor RspR","2","2","1","1","6267","","","","698","698","698","JPHAALHC_03880","PPGGGBPO_03951"
"group_2010","","hypothetical protein","2","2","1","1","6823","","","","1133","1133","1133","JPHAALHC_02721","PPGGGBPO_00226"
"ccmA","","Cytochrome c biogenesis ATP-binding export protein CcmA","2","2","1","1","993","","","","623","623","623","JPHAALHC_02482","PPGGGBPO_00468"
"group_2012","","hypothetical protein","2","2","1","1","194","","","","437","437","437","JPHAALHC_02063","PPGGGBPO_00931"
"group_2013","","hypothetical protein","2","2","1","1","6056","","","","506","506","506","JPHAALHC_04080","PPGGGBPO_03744"
"group_2014","rbsA_5","Ribose import ATP-binding protein RbsA","2","2","1","1","3561","","","","782","782","782","JPHAALHC_03082","PPGGGBPO_03337"
"group_2015","","hypothetical protein","2","2","1","1","539","","","","461","461","461","JPHAALHC_05606","PPGGGBPO_05089"
"yliI_2","","Soluble aldose sugar dehydrogenase YliI","2","2","1","1","1946","","","","1133","1133","1133","JPHAALHC_05334","PPGGGBPO_05358"
"hisZ","","ATP phosphoribosyltransferase regulatory subunit","2","2","1","1","3862","","","","1139","1139","1139","JPHAALHC_03369","PPGGGBPO_03017"
"group_2018","","hypothetical protein","2","2","1","1","4267","","","","443","443","443","JPHAALHC_00269","PPGGGBPO_02615"
"ttr","","Acetyltransferase","2","2","1","1","6970","","","","527","527","527","JPHAALHC_02868","PPGGGBPO_00076"
"nikA_1","","Nickel-binding periplasmic protein","2","2","1","1","6261","","","","1577","1577","1577","JPHAALHC_03883","PPGGGBPO_03948"
"rppH_1","","RNA pyrophosphohydrolase","2","2","1","1","4689","","","","491","491","491","JPHAALHC_01659","PPGGGBPO_01364"
"betI_2","","HTH-type transcriptional regulator BetI","2","2","1","1","3632","","","","614","614","614","JPHAALHC_03154","PPGGGBPO_03251"
"group_2022","","hypothetical protein","2","2","1","1","7158","","","","452","452","452","JPHAALHC_02899","PPGGGBPO_00044"
"group_2023","","hypothetical protein","2","2","1","1","4378","","","","215","215","215","JPHAALHC_00383","PPGGGBPO_02500"
"alsK","","D-allose kinase","2","2","1","1","1024","","","","902","902","902","JPHAALHC_02451","PPGGGBPO_00499"
"rplU","","50S ribosomal protein L21","2","2","1","1","1069","","","","371","371","371","JPHAALHC_02404","PPGGGBPO_00546"
"group_2026","","hypothetical protein","2","2","1","1","1441","","","","305","305","305","JPHAALHC_06353","PPGGGBPO_05872"
"stp","","Multidrug resistance protein Stp","2","2","1","1","6913","","","","1472","1472","1472","JPHAALHC_02809","PPGGGBPO_00134"
"ycjP_2","","Inner membrane ABC transporter permease protein YcjP","2","2","1","1","6649","","","","830","830","830","JPHAALHC_04374","PPGGGBPO_04766"
"rafR_3","","HTH-type transcriptional regulator RafR","2","2","1","1","1964","","","","1016","1016","1016","JPHAALHC_05318","PPGGGBPO_05376"
"gsiC_9","","Glutathione transport system permease protein GsiC","2","2","1","1","6260","","","","935","935","935","JPHAALHC_03884","PPGGGBPO_03947"
"ppx","","Exopolyphosphatase","2","2","1","1","3830","","","","1340","1340","1340","JPHAALHC_03337","PPGGGBPO_03049"
"rbsB_7","","Ribose import binding protein RbsB","2","2","1","1","1292","","","","890","890","890","JPHAALHC_06205","PPGGGBPO_06020"
"lptA","","Lipopolysaccharide export system protein LptA","2","2","1","1","7080","","","","560","560","560","JPHAALHC_02978","PPGGGBPO_03434"
"rpmE","","50S ribosomal protein L31","2","2","1","1","178","","","","221","221","221","JPHAALHC_02047","PPGGGBPO_00947"
"higA-2_1","","Antitoxin HigA-2","2","2","1","1","4594","","","","317","317","317","JPHAALHC_01751","PPGGGBPO_01269"
"yebE","","Inner membrane protein YebE","2","2","1","1","285","","","","704","704","704","JPHAALHC_02155","PPGGGBPO_00837"
"group_2036","","hypothetical protein","2","2","1","1","7028","","","","776","776","776","JPHAALHC_03030","PPGGGBPO_03383"
"acpS","","Holo-[acyl-carrier-protein] synthase","2","2","1","1","4158","","","","419","419","419","JPHAALHC_00161","PPGGGBPO_02722"
"soxG","","Sarcosine oxidase subunit gamma","2","2","1","1","254","","","","554","554","554","JPHAALHC_02124","PPGGGBPO_00868"
"group_2039","","hypothetical protein","2","2","1","1","3850","","","","1268","1268","1268","JPHAALHC_03357","PPGGGBPO_03029"
"oppD_6","","Oligopeptide transport ATP-binding protein OppD","2","2","1","1","6258","","","","995","995","995","JPHAALHC_03886","PPGGGBPO_03945"
"nemA_1","","N-ethylmaleimide reductase","2","2","1","1","5576","","","","1121","1121","1121","JPHAALHC_00754","PPGGGBPO_02208"
"murE","","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase","2","2","1","1","4885","","","","1460","1460","1460","JPHAALHC_01460","PPGGGBPO_01562"
"group_2042","","hypothetical protein","2","2","1","1","2727","","","","176","176","176","JPHAALHC_05833","PPGGGBPO_04854"
"rpsG","","30S ribosomal protein S7","2","2","1","1","5796","","","","470","470","470","JPHAALHC_00533","PPGGGBPO_02430"
"xseA","","Exodeoxyribonuclease 7 large subunit","2","2","1","1","6995","","","","1580","1580","1580","JPHAALHC_02893","PPGGGBPO_00050"
"group_2045","","hypothetical protein","2","2","1","1","4136","","","","266","266","266","JPHAALHC_00138","PPGGGBPO_02747"
"sppA_3","","Putative signal peptide peptidase SppA","2","2","1","1","3902","","","","866","866","866","JPHAALHC_03431","PPGGGBPO_02956"
"petJ","","Cytochrome c6","2","2","1","1","233","","","","341","341","341","JPHAALHC_02103","PPGGGBPO_00889"
"rbfA","","Ribosome-binding factor A","2","2","1","1","6936","","","","407","407","407","JPHAALHC_02832","PPGGGBPO_00111"
"group_2049","","Putative TrmH family tRNA/rRNA methyltransferase","2","2","1","1","125","","","","827","827","827","JPHAALHC_01995","PPGGGBPO_01000"
"gsiA_7","","Glutathione import ATP-binding protein GsiA","2","2","1","1","6257","","","","1022","1022","1022","JPHAALHC_03887","PPGGGBPO_03944"
"lldR_1","","Putative L-lactate dehydrogenase operon regulatory protein","2","2","1","1","2018","","","","770","770","770","JPHAALHC_05263","PPGGGBPO_05433"
"group_2051","gph_1","Phosphoglycolate phosphatase","2","2","1","1","4008","","","","656","656","656","JPHAALHC_00010","PPGGGBPO_02876"
"group_2052","","hypothetical protein","2","2","1","1","3997","","","","605","605","605","JPHAALHC_03500","PPGGGBPO_02886"
"group_2053","cpo_2","Non-heme chloroperoxidase","2","2","1","1","4585","","","","1001","1001","1001","JPHAALHC_01760","PPGGGBPO_01260"
"recD2","","ATP-dependent RecD-like DNA helicase","2","2","1","1","4971","","","","1232","1232","1232","JPHAALHC_01374","PPGGGBPO_01649"
"group_2057","","hypothetical protein","2","2","1","1","5058","","","","251","251","251","JPHAALHC_01285","PPGGGBPO_01737"
"group_2058","","hypothetical protein","2","2","1","1","6990","","","","674","674","674","JPHAALHC_02888","PPGGGBPO_00055"
"group_2059","","hypothetical protein","2","2","1","1","242","","","","2408","2408","2408","JPHAALHC_02112","PPGGGBPO_00880"
"group_206","","hypothetical protein","2","2","1","1","6244","","","","599","659","629","JPHAALHC_03894","PPGGGBPO_03932"
"group_2060","","hypothetical protein","2","2","1","1","5944","","","","353","353","353","JPHAALHC_03782","PPGGGBPO_04061"
"pfp","","Pyrophosphate--fructose 6-phosphate 1-phosphotransferase","2","2","1","1","4875","","","","1214","1214","1214","JPHAALHC_01470","PPGGGBPO_01552"
"group_2062","","hypothetical protein","2","2","1","1","7143","","","","1127","1127","1127","JPHAALHC_02914","PPGGGBPO_00029"
"group_2063","gstB_4","Glutathione S-transferase GstB","2","2","1","1","7136","","","","668","668","668","JPHAALHC_02921","PPGGGBPO_00022"
"group_2064","","hypothetical protein","2","2","1","1","3575","","","","1160","1160","1160","JPHAALHC_03097","PPGGGBPO_03309"
"rutB_3","","Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB","2","2","1","1","3646","","","","599","599","599","JPHAALHC_03168","PPGGGBPO_03237"
"group_2066","","putative HTH-type transcriptional regulator","2","2","1","1","3143","","","","455","455","455","JPHAALHC_03721","PPGGGBPO_04127"
"group_2067","","hypothetical protein","2","2","1","1","7159","","","","686","686","686","JPHAALHC_02898","PPGGGBPO_00045"
"degU_1","","Transcriptional regulatory protein DegU","2","2","1","1","346","","","","788","788","788","JPHAALHC_02216","PPGGGBPO_00776"
"garB","","Glutathione amide reductase","2","2","1","1","5219","","","","1391","1391","1391","JPHAALHC_01125","PPGGGBPO_01897"
"cyaA_8","","Adenylate cyclase 1","2","2","1","1","6234","","","","3389","3389","3389","JPHAALHC_03904","PPGGGBPO_03917"
"dmg","","Dimethylglycine oxidase","2","2","1","1","4542","","","","2561","2561","2561","JPHAALHC_01803","PPGGGBPO_01215"
"nylB","","6-aminohexanoate-dimer hydrolase","2","2","1","1","4872","","","","1361","1361","1361","JPHAALHC_01473","PPGGGBPO_01549"
"takP","","Alpha-keto acid-binding periplasmic protein TakP","2","2","1","1","5153","","","","1106","1106","1106","JPHAALHC_01191","PPGGGBPO_01831"
"mdeA_1","","L-methionine gamma-lyase","2","2","1","1","4553","","","","1172","1172","1172","JPHAALHC_01792","PPGGGBPO_01226"
"group_2074","","hypothetical protein","2","2","1","1","3943","","","","566","566","566","JPHAALHC_03447","PPGGGBPO_02940"
"group_2075","","hypothetical protein","2","2","1","1","4285","","","","161","161","161","JPHAALHC_00286","PPGGGBPO_02597"
"yabJ_4","","2-iminobutanoate/2-iminopropanoate deaminase","2","2","1","1","1536","","","","383","383","383","JPHAALHC_04936","PPGGGBPO_05777"
"phhB","","Putative pterin-4-alpha-carbinolamine dehydratase","2","2","1","1","1006","","","","314","314","314","JPHAALHC_02469","PPGGGBPO_00481"
"xynB","","Beta-xylosidase","2","2","1","1","5157","","","","1625","1625","1625","JPHAALHC_01187","PPGGGBPO_01835"
"group_2079","","hypothetical protein","2","2","1","1","4174","","","","362","362","362","JPHAALHC_00177","PPGGGBPO_02706"
"group_208","","hypothetical protein","2","2","1","1","6229","","","","293","293","293","JPHAALHC_03909","PPGGGBPO_03912"
"fbp","","Fructose-1,6-bisphosphatase class 1","2","2","1","1","1847","","","","1049","1049","1049","JPHAALHC_05432","PPGGGBPO_05259"
"group_2081","","hypothetical protein","2","2","1","1","706","","","","491","491","491","JPHAALHC_05760","PPGGGBPO_04924"
"murJ","","Putative lipid II flippase MurJ","2","2","1","1","7066","","","","1607","1607","1607","JPHAALHC_02992","PPGGGBPO_03420"
"group_2083","","hypothetical protein","2","2","1","1","4922","","","","461","461","461","JPHAALHC_01424","PPGGGBPO_01599"
"group_2084","","Dodecin","2","2","1","1","493","","","","209","209","209","JPHAALHC_05563","PPGGGBPO_05130"
"gbpR_1","","HTH-type transcriptional regulator GbpR","2","2","1","1","5308","","","","1238","1238","1238","JPHAALHC_01035","PPGGGBPO_01986"
"argH_1","","Argininosuccinate lyase","2","2","1","1","48","","","","1403","1403","1403","JPHAALHC_01917","PPGGGBPO_01078"
"group_2087","","hypothetical protein","2","2","1","1","6934","","","","692","692","692","JPHAALHC_02830","PPGGGBPO_00113"
"group_2088","","hypothetical protein","2","2","1","1","763","","","","1163","1163","1163","JPHAALHC_02712","PPGGGBPO_00232"
"group_2089","","hypothetical protein","2","2","1","1","6732","","","","293","293","293","JPHAALHC_02392","PPGGGBPO_00623"
"sfrA","","NADPH-Fe(3+) oxidoreductase subunit alpha","2","2","1","1","6195","","","","2561","2561","2561","JPHAALHC_03943","PPGGGBPO_03878"
"rpaR_5","","HTH-type quorum sensing-dependent transcriptional regulator RpaR","2","2","1","1","3923","","","","833","833","833","JPHAALHC_03410","PPGGGBPO_02976"
"group_2091","","hypothetical protein","2","2","1","1","5730","","","","662","662","662","JPHAALHC_00600","PPGGGBPO_02363"
"group_2092","","hypothetical protein","2","2","1","1","5679","","","","161","161","161","JPHAALHC_00651","PPGGGBPO_02312"
"group_2093","","hypothetical protein","2","2","1","1","6962","","","","290","290","290","JPHAALHC_02860","PPGGGBPO_00084"
"cobA","","Uroporphyrinogen-III C-methyltransferase","2","2","1","1","5128","","","","839","839","839","JPHAALHC_01216","PPGGGBPO_01806"
"group_2095","","hypothetical protein","2","2","1","1","4338","","","","98","98","98","JPHAALHC_00341","PPGGGBPO_02542"
"group_2096","","hypothetical protein","2","2","1","1","5478","","","","305","305","305","JPHAALHC_00857","PPGGGBPO_02105"
"araQ_4","","L-arabinose transport system permease protein AraQ","2","2","1","1","6757","","","","848","848","848","JPHAALHC_02367","PPGGGBPO_00648"
"group_2098","","hypothetical protein","2","2","1","1","4517","","","","212","212","212","JPHAALHC_01807","PPGGGBPO_01190"
"group_2099","","hypothetical protein","2","2","1","1","1972","","","","494","494","494","JPHAALHC_05310","PPGGGBPO_05384"
"group_21","","hypothetical protein","2","2","1","1","4065","","","","302","527","414","JPHAALHC_00068","PPGGGBPO_02817"
"iorA_2","","Isoquinoline 1-oxidoreductase subunit alpha","2","2","1","1","6178","","","","446","464","455","JPHAALHC_03960","PPGGGBPO_03861"
"dhaK_1","","PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK","2","2","1","1","1954","","","","992","992","992","JPHAALHC_05328","PPGGGBPO_05366"
"group_2101","","hypothetical protein","2","2","1","1","4186","","","","170","170","170","JPHAALHC_00189","PPGGGBPO_02694"
"nuoK_1","","NADH-quinone oxidoreductase subunit K","2","2","1","1","4369","","","","308","308","308","JPHAALHC_00374","PPGGGBPO_02509"
"fdr","","Ferredoxin--NAD(P)(+) reductase fdr","2","2","1","1","3865","","","","1217","1217","1217","JPHAALHC_03372","PPGGGBPO_03014"
"rpsS","","30S ribosomal protein S19","2","2","1","1","5788","","","","278","278","278","JPHAALHC_00541","PPGGGBPO_02422"
"gcvA_4","","Glycine cleavage system transcriptional activator","2","2","1","1","936","","","","893","893","893","JPHAALHC_02535","PPGGGBPO_00411"
"acdA_3","","Acyl-CoA dehydrogenase","2","2","1","1","692","","","","1142","1142","1142","JPHAALHC_05746","PPGGGBPO_04938"
